"StudentID","ProgramName","ModuleCode","ModuleName","TotalMark","TotalGrade"
g040032,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,59.00,C 
g040032,MSc in Accounting and Finance,COM501 ,Communication for Managers,61.00,B 
g040032,MSc in Accounting and Finance,FIN501 ,Corporate Finance,54.00,C 
g040033,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040033,MSc in International Management,COM501 ,Communication for Managers,57.00,C 
g040034,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040034,MSc in International Management,COM501 ,Communication for Managers,65.00,B 
g040035,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,73.00,A 
g040035,MSc in Accounting and Finance,COM501 ,Communication for Managers,63.00,B 
g040035,MSc in Accounting and Finance,FIN501 ,Corporate Finance,45.00,D 
g040036,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,68.00,B 
g040036,MSc in Accounting and Finance,COM501 ,Communication for Managers,65.00,B 
g040036,MSc in Accounting and Finance,FIN501 ,Corporate Finance,75.00,A 
g040037,MBA with Project Management,COM501 ,Communication for Managers,61.00,B 
g040037,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,60.00,B 
g040038,MSc in International Management,ACC501 ,Accounting for Managers,68.00,B 
g040038,MSc in International Management,COM501 ,Communication for Managers,35.00,D 
g040039,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,73.00,A 
g040039,MSc in Accounting and Finance,COM501 ,Communication for Managers,65.00,B 
g040039,MSc in Accounting and Finance,FIN501 ,Corporate Finance,58.00,C 
g040040,MSc in International Management,ACC501 ,Accounting for Managers,68.00,B 
g040040,MSc in International Management,COM501 ,Communication for Managers,59.00,C 
g040041,MSc in International Management,ACC501 ,Accounting for Managers,0.00,D 
g040041,MSc in International Management,COM501 ,Communication for Managers,0.00,D 
g040042,MSc in International Management,ACC501 ,Accounting for Managers,73.00,A 
g040042,MSc in International Management,COM501 ,Communication for Managers,55.00,C 
g040042,MSc in International Management,FIN501 ,Corporate Finance,0.00,D 
g040043,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,66.00,B 
g040043,MSc in Accounting and Finance,COM501 ,Communication for Managers,33.00,D 
g040043,MSc in Accounting and Finance,FIN501 ,Corporate Finance,63.00,B 
t050501,BBA with E-Business and Digital Marketing,COM301 ,Business Communication,73.00,A 
t050501,BBA with E-Business and Digital Marketing,MGT302 ,Foundations of Project Management,78.00,A 
t050501,BBA with E-Business and Digital Marketing,MGT303 ,Entrepreneurship,65.00,B 
t050501,BBA with E-Business and Digital Marketing,PRO301 ,Corporate and Business Law (F4),65.00,B 
t050502,BSc Banking and Finance,ACC301 ,Management Accounting (F2),93.00,A*
t050502,BSc Banking and Finance,COM301 ,Business Communication,74.00,A 
t050502,BSc Banking and Finance,ICT301 ,Business Information Systems,94.00,A*
t050502,BSc Banking and Finance,PRO301 ,Corporate and Business Law (F4),45.00,D 
t050503,BBA with E-Business and Digital Marketing,COM301 ,Business Communication,73.00,A 
t050503,BBA with E-Business and Digital Marketing,MGT302 ,Foundations of Project Management,71.00,A 
t050503,BBA with E-Business and Digital Marketing,MGT303 ,Entrepreneurship,65.00,B 
t050503,BBA with E-Business and Digital Marketing,PRO301 ,Corporate and Business Law (F4),55.00,C 
t050504,BBA with E-Business and Digital Marketing,COM301 ,Business Communication,40.00,D 
t050504,BBA with E-Business and Digital Marketing,MGT302 ,Foundations of Project Management,19.00,F 
t050504,BBA with E-Business and Digital Marketing,MGT303 ,Entrepreneurship,54.00,C 
t050504,BBA with E-Business and Digital Marketing,PRO301 ,Corporate and Business Law (F4),40.00,D 
t050505,BBA with Communications and Public Relations,ACC201 ,Introduction to Accounting,27.00,F 
t050505,BBA with Communications and Public Relations,ACC201 ,Introduction to Accounting,40.00,D 
t050505,BBA with Communications and Public Relations,COM301 ,Business Communication,50.00,C 
t050505,BBA with Communications and Public Relations,MGT302 ,Foundations of Project Management,19.00,F 
t050505,BBA with Communications and Public Relations,MGT303 ,Entrepreneurship,62.00,B 
t050505,BBA with Communications and Public Relations,PRO301 ,Corporate and Business Law (F4),21.00,F 
t050508,BBA with Project Management,COM301 ,Business Communication,62.00,B 
t050508,BBA with Project Management,MGT302 ,Foundations of Project Management,45.00,D 
t050508,BBA with Project Management,MGT303 ,Entrepreneurship,53.00,C 
t050508,BBA with Project Management,PRO301 ,Corporate and Business Law (F4),58.00,C 
